# wavelen objCounts skyAndBiasCounts pixnum
6.638109546442029568e+03 nan 0.000000000000000000e+00 3.000000000000000000e+01
6.638669994188900091e+03 nan 0.000000000000000000e+00 3.100000000000000000e+01
6.639230422465339871e+03 nan 0.000000000000000000e+00 3.200000000000000000e+01
6.639790831235530277e+03 nan 0.000000000000000000e+00 3.300000000000000000e+01
6.640351220463619939e+03 nan 0.000000000000000000e+00 3.400000000000000000e+01
6.640911590113780221e+03 nan 0.000000000000000000e+00 3.500000000000000000e+01
6.641471940150199771e+03 nan 0.000000000000000000e+00 3.600000000000000000e+01
6.642032270537019940e+03 nan 0.000000000000000000e+00 3.700000000000000000e+01
6.642592581238420280e+03 nan 0.000000000000000000e+00 3.800000000000000000e+01
6.643152872218570337e+03 nan 0.000000000000000000e+00 3.900000000000000000e+01
6.643713143441639659e+03 nan 0.000000000000000000e+00 4.000000000000000000e+01
6.644273394871789606e+03 nan 0.000000000000000000e+00 4.100000000000000000e+01
6.644833626473189724e+03 nan 0.000000000000000000e+00 4.200000000000000000e+01
6.645393838210019567e+03 nan 0.000000000000000000e+00 4.300000000000000000e+01
6.645954030046429580e+03 nan 0.000000000000000000e+00 4.400000000000000000e+01
6.646514201946590219e+03 nan 0.000000000000000000e+00 4.500000000000000000e+01
6.647074353874680128e+03 nan 0.000000000000000000e+00 4.600000000000000000e+01
6.647634485794859756e+03 nan 0.000000000000000000e+00 4.700000000000000000e+01
6.648194597671299562e+03 nan 0.000000000000000000e+00 4.800000000000000000e+01
6.648754689468159995e+03 nan 0.000000000000000000e+00 4.900000000000000000e+01
6.649314761149619699e+03 nan 0.000000000000000000e+00 5.000000000000000000e+01
6.649874812679840034e+03 nan 0.000000000000000000e+00 5.100000000000000000e+01
6.650434844022989637e+03 nan 0.000000000000000000e+00 5.200000000000000000e+01
6.650994855143239874e+03 nan 0.000000000000000000e+00 5.300000000000000000e+01
6.651554846004760293e+03 nan 0.000000000000000000e+00 5.400000000000000000e+01
6.652114816571710435e+03 nan 0.000000000000000000e+00 5.500000000000000000e+01
6.652674766808259847e+03 nan 0.000000000000000000e+00 5.600000000000000000e+01
6.653234696678579894e+03 nan 0.000000000000000000e+00 5.700000000000000000e+01
6.653794606146840124e+03 nan 0.000000000000000000e+00 5.800000000000000000e+01
6.654354495177210083e+03 nan 0.000000000000000000e+00 5.900000000000000000e+01
6.654914363733850223e+03 nan 0.000000000000000000e+00 6.000000000000000000e+01
6.655474211780930091e+03 nan 0.000000000000000000e+00 6.100000000000000000e+01
6.656034039282620142e+03 nan 0.000000000000000000e+00 6.200000000000000000e+01
6.656593846203089925e+03 nan 0.000000000000000000e+00 6.300000000000000000e+01
6.657153632506499889e+03 nan 0.000000000000000000e+00 6.400000000000000000e+01
6.657713398157019583e+03 nan 0.000000000000000000e+00 6.500000000000000000e+01
6.658273143118830376e+03 nan 0.000000000000000000e+00 6.600000000000000000e+01
6.658832867356079987e+03 nan 0.000000000000000000e+00 6.700000000000000000e+01
6.659392570832949787e+03 nan 0.000000000000000000e+00 6.800000000000000000e+01
6.659952253513610231e+03 nan 0.000000000000000000e+00 6.900000000000000000e+01
6.660511915362219952e+03 nan 0.000000000000000000e+00 7.000000000000000000e+01
6.661071556342950316e+03 nan 0.000000000000000000e+00 7.100000000000000000e+01
6.661631176419959957e+03 nan 0.000000000000000000e+00 7.200000000000000000e+01
6.662190775557440247e+03 nan 0.000000000000000000e+00 7.300000000000000000e+01
6.662750353719529812e+03 nan 0.000000000000000000e+00 7.400000000000000000e+01
6.663309910870420026e+03 nan 0.000000000000000000e+00 7.500000000000000000e+01
6.663869446974270431e+03 nan 0.000000000000000000e+00 7.600000000000000000e+01
6.664428961995249665e+03 nan 0.000000000000000000e+00 7.700000000000000000e+01
6.664988455897519998e+03 nan 0.000000000000000000e+00 7.800000000000000000e+01
6.665547928645250067e+03 nan 0.000000000000000000e+00 7.900000000000000000e+01
6.666107380202620334e+03 nan 0.000000000000000000e+00 8.000000000000000000e+01
6.666666810533780335e+03 nan 0.000000000000000000e+00 8.100000000000000000e+01
6.667226219602919628e+03 nan 0.000000000000000000e+00 8.200000000000000000e+01
6.667785607374179563e+03 nan 0.000000000000000000e+00 8.300000000000000000e+01
6.668344973811749696e+03 nan 0.000000000000000000e+00 8.400000000000000000e+01
6.668904318879789571e+03 nan 0.000000000000000000e+00 8.500000000000000000e+01
6.669463642542469643e+03 nan 0.000000000000000000e+00 8.600000000000000000e+01
6.670022944763960368e+03 nan 0.000000000000000000e+00 8.700000000000000000e+01
6.670582225508420379e+03 nan 0.000000000000000000e+00 8.800000000000000000e+01
6.671141484740020132e+03 nan 0.000000000000000000e+00 8.900000000000000000e+01
6.671700722422930085e+03 nan 0.000000000000000000e+00 9.000000000000000000e+01
6.672259938521319782e+03 nan 0.000000000000000000e+00 9.100000000000000000e+01
6.672819132999359681e+03 nan 0.000000000000000000e+00 9.200000000000000000e+01
6.673378305821210233e+03 nan 0.000000000000000000e+00 9.300000000000000000e+01
6.673937456951040076e+03 nan 0.000000000000000000e+00 9.400000000000000000e+01
6.674496586353019666e+03 nan 0.000000000000000000e+00 9.500000000000000000e+01
6.675055693991320368e+03 nan 0.000000000000000000e+00 9.600000000000000000e+01
6.675614779830099906e+03 nan 0.000000000000000000e+00 9.700000000000000000e+01
6.676173843833539649e+03 6.175000000000000000e+02 0.000000000000000000e+00 9.800000000000000000e+01
6.676732885965800051e+03 6.180000000000000000e+02 0.000000000000000000e+00 9.900000000000000000e+01
6.677291906191049748e+03 6.190000000000000000e+02 0.000000000000000000e+00 1.000000000000000000e+02
6.677850904473450100e+03 6.180000000000000000e+02 0.000000000000000000e+00 1.010000000000000000e+02
6.678409880777179751e+03 6.185000000000000000e+02 0.000000000000000000e+00 1.020000000000000000e+02
6.678968835066400061e+03 6.190000000000000000e+02 0.000000000000000000e+00 1.030000000000000000e+02
6.679527767305289672e+03 6.190000000000000000e+02 0.000000000000000000e+00 1.040000000000000000e+02
6.680086677457999940e+03 6.185000000000000000e+02 0.000000000000000000e+00 1.050000000000000000e+02
6.680645565488710417e+03 6.180000000000000000e+02 0.000000000000000000e+00 1.060000000000000000e+02
6.681204431361579736e+03 6.180000000000000000e+02 0.000000000000000000e+00 1.070000000000000000e+02
6.681763275040780172e+03 6.180000000000000000e+02 0.000000000000000000e+00 1.080000000000000000e+02
6.682322096490480362e+03 6.180000000000000000e+02 0.000000000000000000e+00 1.090000000000000000e+02
6.682880895674849853e+03 6.190000000000000000e+02 0.000000000000000000e+00 1.100000000000000000e+02
6.683439672558060010e+03 6.195000000000000000e+02 0.000000000000000000e+00 1.110000000000000000e+02
6.683998427104270377e+03 6.190000000000000000e+02 0.000000000000000000e+00 1.120000000000000000e+02
6.684557159277649589e+03 6.195000000000000000e+02 0.000000000000000000e+00 1.130000000000000000e+02
6.685115869042369923e+03 6.195000000000000000e+02 0.000000000000000000e+00 1.140000000000000000e+02
6.685674556362600015e+03 6.190000000000000000e+02 0.000000000000000000e+00 1.150000000000000000e+02
6.686233221202510322e+03 6.190000000000000000e+02 0.000000000000000000e+00 1.160000000000000000e+02
6.686791863526260386e+03 6.190000000000000000e+02 0.000000000000000000e+00 1.170000000000000000e+02
6.687350483298009749e+03 6.190000000000000000e+02 0.000000000000000000e+00 1.180000000000000000e+02
6.687909080481949786e+03 6.190000000000000000e+02 0.000000000000000000e+00 1.190000000000000000e+02
6.688467655042230035e+03 6.175000000000000000e+02 0.000000000000000000e+00 1.200000000000000000e+02
6.689026206943030047e+03 6.200000000000000000e+02 0.000000000000000000e+00 1.210000000000000000e+02
