# wavelen objCounts skyAndBiasCounts pixnum
4.373307572734600399e+03 nan 0.000000000000000000e+00 0.000000000000000000e+00
4.373943296433320029e+03 nan 0.000000000000000000e+00 1.000000000000000000e+00
4.374579017632980140e+03 nan 0.000000000000000000e+00 2.000000000000000000e+00
4.375214736290649853e+03 nan 0.000000000000000000e+00 3.000000000000000000e+00
4.375850452363390104e+03 nan 0.000000000000000000e+00 4.000000000000000000e+00
4.376486165808270016e+03 nan 0.000000000000000000e+00 5.000000000000000000e+00
4.377121876582349614e+03 nan 0.000000000000000000e+00 6.000000000000000000e+00
4.377757584642719848e+03 nan 0.000000000000000000e+00 7.000000000000000000e+00
4.378393289946429832e+03 nan 0.000000000000000000e+00 8.000000000000000000e+00
4.379028992450549595e+03 nan 0.000000000000000000e+00 9.000000000000000000e+00
4.379664692112150078e+03 nan 0.000000000000000000e+00 1.000000000000000000e+01
4.380300388888300404e+03 nan 0.000000000000000000e+00 1.100000000000000000e+01
4.380936082736059689e+03 nan 0.000000000000000000e+00 1.200000000000000000e+01
4.381571773612509787e+03 nan 0.000000000000000000e+00 1.300000000000000000e+01
4.382207461474699812e+03 nan 0.000000000000000000e+00 1.400000000000000000e+01
4.382843146279719804e+03 nan 0.000000000000000000e+00 1.500000000000000000e+01
4.383478827984609779e+03 nan 0.000000000000000000e+00 1.600000000000000000e+01
4.384114506546469784e+03 nan 0.000000000000000000e+00 1.700000000000000000e+01
4.384750181922339834e+03 nan 0.000000000000000000e+00 1.800000000000000000e+01
4.385385854069299967e+03 nan 0.000000000000000000e+00 1.900000000000000000e+01
4.386021522944410208e+03 nan 0.000000000000000000e+00 2.000000000000000000e+01
4.386657188504749683e+03 nan 0.000000000000000000e+00 2.100000000000000000e+01
4.387292850707380239e+03 nan 0.000000000000000000e+00 2.200000000000000000e+01
4.387928509509370087e+03 nan 0.000000000000000000e+00 2.300000000000000000e+01
4.388564164867790169e+03 nan 0.000000000000000000e+00 2.400000000000000000e+01
4.389199816739699600e+03 nan 0.000000000000000000e+00 2.500000000000000000e+01
4.389835465082170231e+03 nan 0.000000000000000000e+00 2.600000000000000000e+01
4.390471109852270274e+03 nan 0.000000000000000000e+00 2.700000000000000000e+01
4.391106751007069761e+03 nan 0.000000000000000000e+00 2.800000000000000000e+01
4.391742388503629627e+03 nan 0.000000000000000000e+00 2.900000000000000000e+01
4.392378022299029908e+03 nan 0.000000000000000000e+00 3.000000000000000000e+01
4.393013652350319717e+03 nan 0.000000000000000000e+00 3.100000000000000000e+01
4.393649278614590003e+03 nan 0.000000000000000000e+00 3.200000000000000000e+01
4.394284901048879874e+03 nan 0.000000000000000000e+00 3.300000000000000000e+01
4.394920519610290285e+03 nan 0.000000000000000000e+00 3.400000000000000000e+01
4.395556134255860343e+03 nan 0.000000000000000000e+00 3.500000000000000000e+01
4.396191744942670084e+03 nan 0.000000000000000000e+00 3.600000000000000000e+01
4.396827351627780445e+03 nan 0.000000000000000000e+00 3.700000000000000000e+01
4.397462954268269641e+03 nan 0.000000000000000000e+00 3.800000000000000000e+01
4.398098552821200428e+03 nan 0.000000000000000000e+00 3.900000000000000000e+01
4.398734147243640109e+03 nan 0.000000000000000000e+00 4.000000000000000000e+01
4.399369737492649620e+03 nan 0.000000000000000000e+00 4.100000000000000000e+01
4.400005323525309905e+03 nan 0.000000000000000000e+00 4.200000000000000000e+01
4.400640905298680082e+03 nan 0.000000000000000000e+00 4.300000000000000000e+01
4.401276482769830181e+03 nan 0.000000000000000000e+00 4.400000000000000000e+01
4.401912055895830235e+03 nan 0.000000000000000000e+00 4.500000000000000000e+01
4.402547624633740270e+03 nan 0.000000000000000000e+00 4.600000000000000000e+01
4.403183188940630316e+03 nan 0.000000000000000000e+00 4.700000000000000000e+01
4.403818748773580410e+03 nan 0.000000000000000000e+00 4.800000000000000000e+01
4.404454304089639663e+03 nan 0.000000000000000000e+00 4.900000000000000000e+01
4.405089854845879927e+03 nan 0.000000000000000000e+00 5.000000000000000000e+01
4.405725400999380327e+03 nan 0.000000000000000000e+00 5.100000000000000000e+01
4.406360942507199979e+03 nan 0.000000000000000000e+00 5.200000000000000000e+01
4.406996479326409826e+03 nan 0.000000000000000000e+00 5.300000000000000000e+01
4.407632011414069893e+03 nan 0.000000000000000000e+00 5.400000000000000000e+01
4.408267538727250212e+03 nan 0.000000000000000000e+00 5.500000000000000000e+01
4.408903061223029908e+03 nan 0.000000000000000000e+00 5.600000000000000000e+01
4.409538578858469918e+03 nan 0.000000000000000000e+00 5.700000000000000000e+01
4.410174091590630269e+03 nan 0.000000000000000000e+00 5.800000000000000000e+01
4.410809599376580081e+03 nan 0.000000000000000000e+00 5.900000000000000000e+01
4.411445102173400301e+03 nan 0.000000000000000000e+00 6.000000000000000000e+01
4.412080599938150044e+03 nan 0.000000000000000000e+00 6.100000000000000000e+01
4.412716092627890248e+03 nan 0.000000000000000000e+00 6.200000000000000000e+01
4.413351580199700038e+03 nan 0.000000000000000000e+00 6.300000000000000000e+01
4.413987062610640351e+03 nan 0.000000000000000000e+00 6.400000000000000000e+01
4.414622539817770303e+03 nan 0.000000000000000000e+00 6.500000000000000000e+01
4.415258011778179934e+03 nan 0.000000000000000000e+00 6.600000000000000000e+01
4.415893478448920177e+03 nan 0.000000000000000000e+00 6.700000000000000000e+01
4.416528939787070158e+03 nan 0.000000000000000000e+00 6.800000000000000000e+01
4.417164395749679898e+03 nan 0.000000000000000000e+00 6.900000000000000000e+01
4.417799846293830342e+03 nan 0.000000000000000000e+00 7.000000000000000000e+01
4.418435291376589703e+03 nan 0.000000000000000000e+00 7.100000000000000000e+01
4.419070730955019826e+03 nan 0.000000000000000000e+00 7.200000000000000000e+01
4.419706164986189833e+03 nan 0.000000000000000000e+00 7.300000000000000000e+01
4.420341593427169755e+03 nan 0.000000000000000000e+00 7.400000000000000000e+01
4.420977016235029623e+03 nan 0.000000000000000000e+00 7.500000000000000000e+01
4.421612433366830373e+03 nan 0.000000000000000000e+00 7.600000000000000000e+01
4.422247844779640218e+03 nan 0.000000000000000000e+00 7.700000000000000000e+01
4.422883250430530097e+03 nan 0.000000000000000000e+00 7.800000000000000000e+01
4.423518650276570042e+03 nan 0.000000000000000000e+00 7.900000000000000000e+01
4.424154044274820080e+03 nan 0.000000000000000000e+00 8.000000000000000000e+01
4.424789432382350242e+03 nan 0.000000000000000000e+00 8.100000000000000000e+01
4.425424814556229649e+03 nan 0.000000000000000000e+00 8.200000000000000000e+01
4.426060190753530151e+03 nan 0.000000000000000000e+00 8.300000000000000000e+01
4.426695560931319960e+03 nan 0.000000000000000000e+00 8.400000000000000000e+01
4.427330925046660013e+03 nan 0.000000000000000000e+00 8.500000000000000000e+01
4.427966283056610337e+03 nan 0.000000000000000000e+00 8.600000000000000000e+01
4.428601634918260061e+03 nan 0.000000000000000000e+00 8.700000000000000000e+01
4.429236980588660117e+03 nan 0.000000000000000000e+00 8.800000000000000000e+01
4.429872320024879627e+03 nan 0.000000000000000000e+00 8.900000000000000000e+01
4.430507653184000446e+03 nan 0.000000000000000000e+00 9.000000000000000000e+01
4.431142980023069867e+03 nan 0.000000000000000000e+00 9.100000000000000000e+01
4.431778300499169745e+03 nan 0.000000000000000000e+00 9.200000000000000000e+01
4.432413614569360107e+03 nan 0.000000000000000000e+00 9.300000000000000000e+01
4.433048922190710073e+03 nan 0.000000000000000000e+00 9.400000000000000000e+01
4.433684223320299679e+03 nan 0.000000000000000000e+00 9.500000000000000000e+01
4.434319517915179858e+03 nan 0.000000000000000000e+00 9.600000000000000000e+01
4.434954805932419731e+03 nan 0.000000000000000000e+00 9.700000000000000000e+01
4.435590087329090238e+03 6.220000000000000000e+02 0.000000000000000000e+00 9.800000000000000000e+01
