# wavelen objCounts skyAndBiasCounts pixnum
3.717941420869090052e+03 nan 0.000000000000000000e+00 0.000000000000000000e+00
3.718596958206840100e+03 nan 0.000000000000000000e+00 1.000000000000000000e+00
3.719252496068009805e+03 nan 0.000000000000000000e+00 2.000000000000000000e+00
3.719908034408309959e+03 nan 0.000000000000000000e+00 3.000000000000000000e+00
3.720563573183459994e+03 nan 0.000000000000000000e+00 4.000000000000000000e+00
3.721219112349169791e+03 nan 0.000000000000000000e+00 5.000000000000000000e+00
3.721874651861160146e+03 nan 0.000000000000000000e+00 6.000000000000000000e+00
3.722530191675130027e+03 nan 0.000000000000000000e+00 7.000000000000000000e+00
3.723185731746799775e+03 nan 0.000000000000000000e+00 8.000000000000000000e+00
3.723841272031890185e+03 nan 0.000000000000000000e+00 9.000000000000000000e+00
3.724496812486109775e+03 nan 0.000000000000000000e+00 1.000000000000000000e+01
3.725152353065169791e+03 nan 0.000000000000000000e+00 1.100000000000000000e+01
3.725807893724790119e+03 nan 0.000000000000000000e+00 1.200000000000000000e+01
3.726463434420670183e+03 nan 0.000000000000000000e+00 1.300000000000000000e+01
3.727118975108539871e+03 nan 0.000000000000000000e+00 1.400000000000000000e+01
3.727774515744109976e+03 nan 0.000000000000000000e+00 1.500000000000000000e+01
3.728430056283079921e+03 nan 0.000000000000000000e+00 1.600000000000000000e+01
3.729085596681180050e+03 nan 0.000000000000000000e+00 1.700000000000000000e+01
3.729741136894119791e+03 nan 0.000000000000000000e+00 1.800000000000000000e+01
3.730396676877599930e+03 nan 0.000000000000000000e+00 1.900000000000000000e+01
3.731052216587359908e+03 nan 0.000000000000000000e+00 2.000000000000000000e+01
3.731707755979090052e+03 nan 0.000000000000000000e+00 2.100000000000000000e+01
3.732363295008509795e+03 nan 0.000000000000000000e+00 2.200000000000000000e+01
3.733018833631339930e+03 nan 0.000000000000000000e+00 2.300000000000000000e+01
3.733674371803289887e+03 nan 0.000000000000000000e+00 2.400000000000000000e+01
3.734329909480070000e+03 nan 0.000000000000000000e+00 2.500000000000000000e+01
3.734985446617400157e+03 nan 0.000000000000000000e+00 2.600000000000000000e+01
3.735640983170989784e+03 nan 0.000000000000000000e+00 2.700000000000000000e+01
3.736296519096550128e+03 nan 0.000000000000000000e+00 2.800000000000000000e+01
